timestamp,A,B,OUT,,,,,,,,,,,,,,
0.29687047,0.1597,0.1784,1.347,,,,,,,,,,,,,,
0.601241112,0.1461,0.1827,1.262,,,,,,,,,,,,,,
0.908859253,0.1461,0.1784,1.352,,,,,,,,,,,,,,
1.193534374,0.1507,0.1784,1.222,,,,,,,,,,,,,,
1.496197462,0.1507,0.1784,1.222,,,,,,,,,,,,,,
1.792681217,0.1461,0.1739,1.307,,,,,,,,,,,,,,
2.089009762,0.1461,0.1784,1.213,,,,,,,,,,,,,,
2.387675762,0.1507,0.1784,1.334,,,,,,,,,,,,,,
2.703276873,0.1461,0.1827,1.205,,,,,,,,,,,,,,
2.988673925,0.1507,0.1784,1.24,,,,,,,,,,,,,,
3.849616766,0.1507,4.69,1.383,,,,,,,,,,,,,,
4.144199371,0.1507,4.686,1.276,,,,,,,,,,,,,,
4.450576305,0.1507,4.686,1.334,,,,,,,,,,,,,,
4.758755207,0.1597,4.703,1.271,,,,,,,,,,,,,,
5.026351213,0.1552,4.686,1.37,,,,,,,,,,,,,,
5.317351341,0.1507,4.69,1.28,,,,,,,,,,,,,,
5.607755661,0.1507,4.686,1.361,,,,,,,,,,,,,,
5.908587217,0.1552,4.69,1.401,,,,,,,,,,,,,,
6.186673641,0.1507,4.695,1.37,,,,,,,,,,,,,,
6.473742962,0.1507,4.686,1.307,,,,,,,,,,,,,,
7.229590893,4.685,0.1827,1.338,,,,,,,,,,,,,,
7.469422579,4.685,0.1827,1.352,,,,,,,,,,,,,,
7.779084921,4.685,0.1784,1.334,,,,,,,,,,,,,,
8.062752247,4.685,0.1827,1.325,,,,,,,,,,,,,,
8.341437101,4.69,0.1872,1.365,,,,,,,,,,,,,,
8.639088392,4.685,0.1827,1.338,,,,,,,,,,,,,,
8.945905924,4.685,0.1872,1.365,,,,,,,,,,,,,,
9.207749128,4.685,0.1827,1.356,,,,,,,,,,,,,,
9.4458251,4.681,0.1827,1.343,,,,,,,,,,,,,,
9.682431459,4.685,0.1827,1.338,,,,,,,,,,,,,,
10.53392744,4.676,4.69,5.466,,,,,,,,,,,,,,
10.83002663,4.676,4.695,5.654,,,,,,,,,,,,,,
11.12243772,4.676,4.69,5.422,,,,,,,,,,,,,,
11.34892058,4.676,4.686,5.395,,,,,,,,,,,,,,
11.57459116,4.676,4.69,5.6,,,,,,,,,,,,,,
11.84375477,4.676,4.686,5.814,,,,,,,,,,,,,,
12.14606881,4.676,4.69,5.52,,,,,,,,,,,,,,
12.46209311,4.676,4.695,5.439,,,,,,,,,,,,,,
12.74958754,4.685,4.69,5.479,,,,,,,,,,,,,,
13.0497961,4.676,4.695,5.341,,,,,,,,,,,,,,
13.89218783,0.1419,0.1827,1.316,,,,,,,,,,,,,,
14.168926,0.1507,0.1784,1.311,,,,,,,,,,,,,,
14.4645679,0.1597,0.1784,1.294,,,,,,,,,,,,,,
14.7770834,0.1507,0.1739,1.392,,,,,,,,,,,,,,
15.08973908,0.1461,0.1784,1.227,,,,,,,,,,,,,,
15.31374717,0.1507,0.1739,1.218,,,,,,,,,,,,,,
15.5680747,0.1461,0.1784,1.254,,,,,,,,,,,,,,
15.86209369,0.1507,0.1739,1.262,,,,,,,,,,,,,,
16.11891532,0.1461,0.1739,1.311,,,,,,,,,,,,,,
16.43449402,0.1461,0.1784,1.383,,,,,,,,,,,,,,
17.2977314,0.1507,4.686,1.347,,,,,,,,,,,,,,
17.59203053,0.1552,4.69,1.419,,,,,,,,,,,,,,
17.89542007,0.1597,4.69,1.329,,,,,,,,,,,,,,
18.20017672,0.1507,4.69,1.303,,,,,,,,,,,,,,
18.48464036,0.1507,4.69,1.356,,,,,,,,,,,,,,
18.78782058,0.1597,4.695,1.383,,,,,,,,,,,,,,
19.02207136,0.164,4.695,1.374,,,,,,,,,,,,,,
19.31340599,0.1552,4.686,1.383,,,,,,,,,,,,,,
19.60681891,0.1507,4.686,1.392,,,,,,,,,,,,,,
19.89971948,0.1461,4.686,1.374,,,,,,,,,,,,,,
20.69589496,4.685,0.1917,1.338,,,,,,,,,,,,,,
21.01668262,4.69,0.1827,1.298,,,,,,,,,,,,,,
21.31132436,4.685,0.1827,1.325,,,,,,,,,,,,,,
21.62707043,4.685,0.1827,1.361,,,,,,,,,,,,,,
21.9133153,4.69,0.1872,1.294,,,,,,,,,,,,,,
22.23214722,4.685,0.1827,1.37,,,,,,,,,,,,,,
22.52663708,4.685,0.1827,1.361,,,,,,,,,,,,,,
22.81897831,4.685,0.1784,1.352,,,,,,,,,,,,,,
23.11511493,4.69,0.1784,1.356,,,,,,,,,,,,,,
23.42632365,4.685,0.1827,1.347,,,,,,,,,,,,,,
24.29605794,4.681,4.695,5.819,,,,,,,,,,,,,,
24.59698725,4.69,4.69,5.783,,,,,,,,,,,,,,
24.8952229,4.676,4.695,5.68,,,,,,,,,,,,,,
25.20372844,4.685,4.69,5.743,,,,,,,,,,,,,,
25.50362611,4.685,4.686,5.756,,,,,,,,,,,,,,
25.79196954,4.681,4.686,5.546,,,,,,,,,,,,,,
26.07487226,4.685,4.69,5.524,,,,,,,,,,,,,,
26.32854772,4.676,4.69,5.439,,,,,,,,,,,,,,
26.59571624,4.676,4.69,5.645,,,,,,,,,,,,,,
26.88488841,4.676,4.69,5.814,,,,,,,,,,,,,,
27.69546056,0.1461,0.1784,1.316,,,,,,,,,,,,,,
27.96455336,0.1461,0.1827,1.289,,,,,,,,,,,,,,
28.2779038,0.1461,0.1784,1.28,,,,,,,,,,,,,,
28.56822133,0.1507,0.1784,1.173,,,,,,,,,,,,,,
28.78803611,0.1461,0.1917,1.37,,,,,,,,,,,,,,
28.9767096,0.1552,0.1784,1.209,,,,,,,,,,,,,,
29.16871166,0.1461,0.1784,1.227,,,,,,,,,,,,,,
29.43814421,0.1507,0.1739,1.347,,,,,,,,,,,,,,
29.7557919,0.1461,0.1784,1.182,,,,,,,,,,,,,,
30.04513788,0.1507,0.1827,1.236,,,,,,,,,,,,,,
30.8933115,0.1597,4.703,1.378,,,,,,,,,,,,,,
31.18531132,0.1507,4.695,1.316,,,,,,,,,,,,,,
31.48354578,0.1507,4.699,1.432,,,,,,,,,,,,,,
31.79153943,0.1552,4.69,1.321,,,,,,,,,,,,,,
32.07505226,0.1552,4.69,1.401,,,,,,,,,,,,,,
32.32713246,0.1507,4.695,1.387,,,,,,,,,,,,,,
32.62287211,0.1507,4.695,1.325,,,,,,,,,,,,,,
