Id,A,B,C,Output
1,0.04,0.04,0.05,Out0
2,0.11,0.02,0.93,Out1
3,0.10,0.99,0.24,Out2
4,0.21,0.83,0.80,Out3
5,0.78,0.05,0.16,Out4
6,0.91,0.17,0.95,Out5
7,0.77,0.90,0.08,Out6
8,0.97,0.85,0.86,Out7
9,0.19,0.02,0.11,Out0
10,0.17,0.11,0.81,Out1
11,0.24,0.87,0.13,Out2
12,0.17,0.84,0.91,Out3
13,0.82,0.19,0.01,Out4
14,0.89,0.17,0.77,Out5
15,0.86,0.79,0.21,Out6
16,0.79,0.91,0.94,Out7
17,0.06,0.23,0.10,Out0
18,0.23,0.07,0.93,Out1
19,0.21,0.98,0.08,Out2
20,0.16,0.83,0.82,Out3
21,0.84,0.14,0.12,Out4
22,0.86,0.15,0.89,Out5
23,0.89,0.99,0.15,Out6
24,0.91,0.80,0.87,Out7
25,0.17,0.18,0.11,Out0
26,0.04,0.00,0.94,Out1
27,0.08,0.85,0.04,Out2
28,0.04,0.95,0.77,Out3
29,0.78,0.13,0.03,Out4
30,0.80,0.09,0.84,Out5
31,0.84,0.96,0.19,Out6
32,0.76,0.93,1.00,Out7
33,0.24,0.09,0.03,Out0
34,0.07,0.22,0.95,Out1
35,0.07,0.77,0.02,Out2
36,0.14,0.76,0.83,Out3
37,0.87,0.20,0.25,Out4
38,0.90,0.07,0.93,Out5
39,0.79,0.96,0.10,Out6
40,0.90,0.80,0.79,Out7
41,0.20,0.14,0.05,Out0
42,0.11,0.13,0.98,Out1
43,0.23,0.99,0.11,Out2
44,0.20,0.98,0.85,Out3
45,0.88,0.09,0.14,Out4
46,0.92,0.19,0.99,Out5
47,0.90,1.00,0.22,Out6
48,0.92,0.82,0.87,Out7
49,0.20,0.13,0.20,Out0
50,0.14,0.25,0.90,Out1
51,0.08,0.90,0.18,Out2
52,0.08,0.83,0.97,Out3
53,0.82,0.11,0.02,Out4
54,0.91,0.07,0.99,Out5
55,0.96,0.89,0.23,Out6
56,0.78,0.89,0.93,Out7
57,0.15,0.21,0.20,Out0
58,0.10,0.06,0.79,Out1
59,0.24,0.94,0.08,Out2
60,0.02,0.86,0.81,Out3
61,0.99,0.14,0.11,Out4
62,0.96,0.24,1.00,Out5
63,0.80,0.94,0.00,Out6
64,0.83,0.92,0.91,Out7
65,0.09,0.01,0.19,Out0
66,0.18,0.03,0.77,Out1
67,0.23,0.88,0.06,Out2
68,0.06,0.83,0.86,Out3
69,0.96,0.04,0.15,Out4
70,0.76,0.09,0.89,Out5
71,0.87,0.83,0.24,Out6
72,0.94,0.85,0.76,Out7
73,0.13,0.06,0.16,Out0
74,0.19,0.18,0.87,Out1
75,0.14,0.84,0.03,Out2
76,0.08,0.99,0.86,Out3
77,0.79,0.07,0.18,Out4
78,0.98,0.17,0.97,Out5
79,0.90,1.00,0.19,Out6
80,0.96,0.91,0.81,Out7
81,0.17,0.02,0.10,Out0
82,0.08,0.18,0.86,Out1
83,0.12,0.90,0.02,Out2
84,0.20,0.79,0.96,Out3
85,0.97,0.11,0.04,Out4
86,0.98,0.07,0.99,Out5
87,0.83,0.84,0.05,Out6
88,0.83,0.97,0.75,Out7
89,0.01,0.16,0.15,Out0
90,0.22,0.13,0.91,Out1
91,0.13,0.76,0.24,Out2
92,0.17,0.82,0.79,Out3
93,0.94,0.01,0.16,Out4
94,0.97,0.19,0.77,Out5
95,1.00,0.82,0.23,Out6
96,0.91,0.96,0.86,Out7
97,0.20,0.06,0.02,Out0
98,0.23,0.14,0.89,Out1
99,0.14,0.86,0.11,Out2
100,0.19,0.79,0.86,Out3
101,0.95,0.08,0.19,Out4
102,0.77,0.06,0.87,Out5
103,0.96,0.90,0.17,Out6
104,0.78,0.93,0.85,Out7
105,0.17,0.15,0.10,Out0
106,0.02,0.01,0.78,Out1
107,0.14,0.97,0.10,Out2
108,0.06,0.93,0.76,Out3
109,0.93,0.25,0.15,Out4
110,0.87,0.08,0.96,Out5
111,0.76,0.97,0.20,Out6
112,0.92,0.84,0.86,Out7
113,0.15,0.20,0.17,Out0
114,0.21,0.19,0.84,Out1
115,0.03,0.82,0.18,Out2
116,0.12,0.96,0.96,Out3
117,0.83,0.12,0.16,Out4
118,0.90,0.13,0.79,Out5
119,0.99,0.91,0.03,Out6
120,0.93,0.83,0.93,Out7
121,0.07,0.17,0.17,Out0
122,0.24,0.11,0.86,Out1
123,0.23,0.88,0.11,Out2
124,0.02,0.92,0.84,Out3
125,0.87,0.11,0.19,Out4
126,0.77,0.17,0.85,Out5
127,0.88,0.92,0.00,Out6
128,0.94,0.84,0.92,Out7
129,0.23,0.17,0.08,Out0
130,0.05,0.12,0.77,Out1
131,0.21,0.96,0.22,Out2
132,0.20,0.77,0.86,Out3
133,0.96,0.08,0.18,Out4
134,0.93,0.17,0.81,Out5
135,0.83,0.97,0.17,Out6
136,0.97,0.82,0.77,Out7
137,0.23,0.16,0.03,Out0
138,0.21,0.15,0.96,Out1
139,0.07,0.95,0.17,Out2
140,0.02,0.82,0.90,Out3
141,0.81,0.13,0.20,Out4
142,0.76,0.06,0.96,Out5
143,0.82,0.81,0.15,Out6
144,0.89,0.85,0.98,Out7
145,0.02,0.21,0.04,Out0
146,0.03,0.14,0.76,Out1
147,0.04,0.82,0.06,Out2
148,0.24,0.99,0.76,Out3
149,0.78,0.14,0.03,Out4
150,0.81,0.02,0.78,Out5
