Id,A,B,C,Output
1,0.014,0.010,0.010,Out0
2,0.046,0.031,0.010,Out0
3,0.010,0.010,0.010,Out0
4,0.079,0.010,0.010,Out0
5,0.010,0.019,0.010,Out0
6,0.010,0.070,0.010,Out0
7,0.010,0.092,0.010,Out0
8,0.010,0.041,0.010,Out0
9,0.010,0.070,0.012,Out0
10,0.010,0.010,0.010,Out0
11,0.040,0.010,0.092,Out0
12,0.055,0.037,0.030,Out0
13,0.075,0.010,0.010,Out0
14,0.014,0.010,0.012,Out0
15,0.099,0.010,0.076,Out0
16,0.050,0.010,0.010,Out0
17,0.097,0.023,0.067,Out0
18,0.010,0.059,0.010,Out0
19,0.010,0.010,0.015,Out0
20,0.046,0.015,0.010,Out0
21,0.010,0.010,0.040,Out0
22,0.010,0.100,0.010,Out0
23,0.062,0.010,0.010,Out0
24,0.041,0.053,0.090,Out0
25,0.010,0.010,0.040,Out0
26,0.054,0.010,0.010,Out0
27,0.021,0.022,0.010,Out0
28,0.010,0.080,0.010,Out0
29,0.037,0.010,0.068,Out0
30,0.010,0.010,0.057,Out0
31,0.010,0.018,0.071,Out0
32,0.010,0.037,0.010,Out0
33,0.077,0.013,0.010,Out0
34,0.010,0.010,0.010,Out0
35,0.010,0.012,0.072,Out0
36,0.010,0.010,0.010,Out0
37,0.093,0.010,0.035,Out0
38,0.052,0.010,0.021,Out0
39,0.010,0.010,0.010,Out0
40,0.042,0.079,0.046,Out0
41,0.070,0.010,0.010,Out0
42,0.087,0.010,0.077,Out0
43,0.088,0.077,0.011,Out0
44,0.010,0.071,0.087,Out0
45,0.010,0.010,0.010,Out0
46,0.077,0.074,0.010,Out0
47,0.010,0.076,0.010,Out0
48,0.010,0.010,0.010,Out0
49,0.028,0.010,0.011,Out0
50,0.010,0.010,0.054,Out0
51,0.081,0.010,0.968,Out1
52,0.010,0.010,0.982,Out1
53,0.017,0.016,0.936,Out1
54,0.010,0.036,0.928,Out1
55,0.018,0.092,0.963,Out1
