Id,A,B,C,Output
1,0.12,0.1,0.1,Out0
2,0.28,0.2,0.1,Out0
3,0.1,0.1,0.1,Out0
4,0.44,0.1,0.1,Out0
5,0.1,0.14,0.1,Out0
6,0.1,0.39,0.1,Out0
7,0.1,0.5,0.1,Out0
8,0.1,0.25,0.1,Out0
9,0.1,0.39,0.11,Out0
10,0.1,0.1,0.1,Out0
11,0.25,0.1,0.5,Out0
12,0.32,0.23,0.2,Out0
13,0.42,0.1,0.1,Out0
14,0.12,0.1,0.11,Out0
15,0.54,0.1,0.42,Out0
16,0.3,0.1,0.1,Out0
17,0.53,0.16,0.38,Out0
18,0.1,0.34,0.1,Out0
19,0.1,0.1,0.12,Out0
20,0.28,0.12,0.1,Out0
21,0.1,0.1,0.25,Out0
22,0.1,0.54,0.1,Out0
23,0.35,0.1,0.1,Out0
24,0.25,0.31,0.49,Out0
25,0.1,0.1,0.25,Out0
26,0.32,0.1,0.1,Out0
27,0.15,0.16,0.1,Out0
28,0.1,0.44,0.1,Out0
29,0.23,0.1,0.38,Out0
30,0.1,0.1,0.33,Out0
31,0.1,0.14,0.4,Out0
32,0.1,0.23,0.1,Out0
33,0.43,0.11,0.1,Out0
34,0.1,0.1,0.1,Out0
35,0.1,0.11,0.4,Out0
36,0.1,0.1,0.1,Out0
37,0.51,0.1,0.22,Out0
38,0.31,0.1,0.15,Out0
39,0.1,0.1,0.1,Out0
40,0.26,0.44,0.28,Out0
41,0.39,0.1,0.1,Out0
42,0.48,0.1,0.43,Out0
43,0.48,0.43,0.1,Out0
44,0.1,0.4,0.48,Out0
45,0.1,0.1,0.1,Out0
46,0.43,0.41,0.1,Out0
47,0.1,0.42,0.1,Out0
48,0.1,0.1,0.1,Out0
49,0.19,0.1,0.1,Out0
50,0.1,0.1,0.32,Out0
51,0.45,0.1,4.79,Out1
52,0.1,0.1,4.86,Out1
53,0.13,0.13,4.64,Out1
54,0.1,0.23,4.6,Out1
55,0.14,0.5,4.77,Out1
56,0.1,0.1,4.76,Out1
57,0.43,0.35,4.9,Out1
58,0.1,0.1,4.9,Out1
59,0.1,0.1,4.51,Out1
60,0.19,0.1,4.9,Out1
61,0.32,0.21,4.9,Out1
62,0.32,0.15,4.5,Out1
63,0.1,0.43,4.84,Out1
64,0.1,0.1,4.59,Out1
65,0.1,0.24,4.9,Out1
66,0.44,0.49,4.63,Out1
67,0.1,0.22,4.59,Out1
68,0.1,0.1,4.9,Out1
69,0.42,0.45,4.9,Out1
70,0.1,0.25,4.8,Out1
71,0.25,0.1,4.68,Out1
72,0.42,0.22,4.9,Out1
73,0.1,0.19,4.61,Out1
74,0.37,0.1,4.9,Out1
75,0.41,0.1,4.9,Out1
76,0.1,0.1,4.9,Out1
77,0.1,0.37,4.9,Out1
78,0.45,0.1,4.9,Out1
79,0.1,0.5,4.9,Out1
80,0.38,0.1,4.52,Out1
81,0.38,0.1,4.9,Out1
82,0.1,0.19,4.9,Out1
83,0.1,0.44,4.9,Out1
84,0.1,0.1,4.76,Out1
85,0.1,0.1,4.9,Out1
86,0.1,0.1,4.9,Out1
87,0.32,0.38,4.56,Out1
88,0.52,0.21,4.82,Out1
89,0.12,0.29,4.9,Out1
90,0.32,0.1,4.9,Out1
91,0.4,0.1,4.81,Out1
92,0.1,0.1,4.77,Out1
93,0.1,0.23,4.9,Out1
94,0.1,0.37,4.9,Out1
95,0.36,0.1,4.73,Out1
96,0.1,0.45,4.9,Out1
97,0.1,0.1,4.9,Out1
98,0.12,0.1,4.9,Out1
99,0.12,0.1,4.9,Out1
100,0.48,0.3,4.83,Out1
101,0.1,4.9,0.46,Out2
102,0.15,4.9,0.1,Out2
103,0.1,4.9,0.1,Out2
104,0.1,4.9,0.1,Out2
105,0.17,4.53,0.1,Out2
106,0.1,4.9,0.47,Out2
107,0.14,4.9,0.36,Out2
108,0.21,4.89,0.28,Out2
109,0.1,4.9,0.1,Out2
110,0.52,4.73,0.1,Out2
111,0.1,4.65,0.1,Out2
112,0.1,4.9,0.1,Out2
113,0.15,4.9,0.34,Out2
114,0.1,4.9,0.26,Out2
115,0.1,4.88,0.1,Out2
116,0.1,4.9,0.4,Out2
117,0.1,4.85,0.2,Out2
118,0.13,4.9,0.1,Out2
119,0.1,4.9,0.1,Out2
120,0.1,4.53,0.14,Out2
121,0.43,4.9,0.29,Out2
122,0.1,4.75,0.4,Out2
123,0.23,4.9,0.2,Out2
124,0.21,4.86,0.4,Out2
125,0.26,4.58,0.43,Out2
126,0.34,4.46,0.1,Out2
127,0.1,4.53,0.1,Out2
128,0.1,4.64,0.1,Out2
129,0.1,4.9,0.1,Out2
130,0.1,4.9,0.4,Out2
131,0.21,4.9,0.1,Out2
132,0.1,4.9,0.37,Out2
133,0.1,4.76,0.1,Out2
