Id,A,B,C,Output
1,0.66,0.38,0.61,Out5
2,0.05,0.03,0.85,Out1
3,0.95,0.02,0.02,Out4
4,0.21,0.71,0.83,Out3
5,0.29,0.73,0.28,Out2
6,0.07,0.05,0.23,Out0
7,0.90,0.02,0.83,Out5
8,0.25,0.19,0.20,Out0
9,0.23,0.71,0.86,Out3
10,0.93,0.14,0.03,Out4
11,0.02,0.86,0.75,Out3
12,0.87,0.11,0.95,Out5
13,0.28,0.24,0.18,Out0
14,0.79,0.39,0.35,Out4
15,0.17,0.24,0.39,Out0
16,0.19,0.05,0.71,Out1
17,0.19,0.71,0.73,Out3
18,1.00,0.99,0.22,Out6
19,0.18,0.88,0.13,Out2
20,0.26,0.16,0.03,Out0
21,0.31,0.30,0.70,Out1
22,0.76,0.77,0.17,Out6
23,0.16,0.24,0.19,Out0
24,0.18,0.28,0.23,Out0
25,0.24,0.82,0.11,Out2
26,0.06,0.07,0.78,Out1
27,0.68,0.34,0.20,Out4
28,0.28,0.18,0.94,Out1
29,0.18,0.81,0.95,Out3
30,0.96,0.15,0.12,Out4
31,0.73,0.06,0.71,Out5
32,0.17,0.76,0.83,Out3
33,0.19,0.39,0.60,Out1
34,0.75,0.22,0.01,Out4
35,0.04,0.13,0.18,Out0
36,0.66,0.16,0.30,Out4
37,0.84,0.66,0.18,Out6
38,0.07,0.26,0.24,Out0
39,0.87,0.11,0.77,Out5
40,0.10,0.83,0.87,Out3
41,0.07,0.19,0.78,Out1
42,0.10,0.95,0.03,Out2
43,0.10,0.91,0.04,Out2
44,0.39,0.62,0.84,Out3
45,1.00,0.16,0.72,Out5
46,0.24,0.71,0.02,Out2
47,0.76,0.77,0.29,Out6
48,0.13,0.71,0.19,Out2
49,0.86,0.18,0.15,Out4
50,0.60,0.29,0.73,Out5
51,0.84,0.05,0.20,Out4
52,0.03,0.71,0.71,Out3
53,0.95,0.86,0.02,Out6
54,0.70,0.80,0.25,Out6
55,0.92,0.02,0.07,Out4
56,0.85,0.16,0.75,Out5
57,0.83,0.12,0.16,Out4
58,0.90,0.76,0.01,Out6
59,0.21,0.79,0.71,Out3
60,0.40,0.85,0.63,Out3
61,0.83,0.32,0.35,Out4
62,0.27,0.17,0.79,Out1
63,0.77,0.61,0.30,Out6
64,0.39,0.82,0.62,Out3
65,0.33,0.68,0.35,Out2
66,0.04,0.09,0.28,Out0
67,0.88,0.26,0.80,Out5
68,0.76,0.90,0.00,Out6
69,0.03,0.92,0.80,Out3
70,0.36,0.75,0.33,Out2
71,0.72,0.94,0.02,Out6
72,0.09,0.83,0.00,Out2
73,0.70,0.96,0.15,Out6
74,0.84,0.33,0.72,Out5
75,0.24,0.02,0.24,Out0
76,0.03,0.29,0.06,Out0
77,0.31,0.29,0.37,Out0
78,0.26,0.93,0.27,Out2
79,0.27,0.75,0.82,Out3
80,0.85,0.98,0.12,Out6
81,0.72,0.32,0.64,Out5
82,0.31,0.22,0.30,Out0
83,0.15,0.71,0.13,Out2
84,0.72,0.74,0.17,Out6
85,0.03,0.87,0.10,Out2
86,0.06,0.15,0.24,Out0
87,0.03,0.10,0.97,Out1
88,0.80,0.23,0.16,Out4
89,0.16,0.72,0.75,Out3
90,0.10,0.13,0.03,Out0
91,0.07,0.88,0.94,Out3
92,0.71,0.99,0.15,Out6
93,0.03,0.09,0.84,Out1
94,0.98,0.72,0.06,Out6
95,0.73,0.24,0.15,Out4
96,0.18,0.81,0.27,Out2
97,0.33,0.18,0.24,Out0
98,0.90,0.29,0.91,Out5
99,0.83,0.85,0.29,Out6
100,0.19,0.72,0.08,Out2
101,0.97,0.19,0.75,Out5
102,0.95,0.14,0.83,Out5
103,0.30,0.33,0.84,Out1
104,0.64,0.84,0.19,Out6
105,0.38,0.63,0.21,Out2
106,0.12,0.04,0.77,Out1
107,0.83,0.04,0.29,Out4
108,0.82,0.14,0.87,Out5
109,0.33,0.63,0.32,Out2
110,0.90,0.25,0.96,Out5
111,0.81,0.04,0.13,Out4
112,0.82,0.07,0.18,Out4
113,0.24,0.73,0.77,Out3
114,0.21,0.12,0.93,Out1
115,0.05,0.84,0.10,Out2
116,0.25,0.37,0.34,Out0
117,0.23,0.34,0.75,Out1
118,0.15,0.29,0.73,Out1
119,0.85,0.02,0.71,Out5
120,0.93,0.90,0.15,Out6
121,0.21,0.71,0.76,Out3
122,0.78,0.37,0.15,Out4
123,0.38,0.28,0.73,Out1
124,0.02,0.02,0.80,Out1
125,0.09,0.79,0.94,Out3
126,0.04,0.27,0.72,Out1
127,0.76,0.38,0.63,Out5
128,0.30,0.64,0.26,Out2
129,0.31,0.77,0.20,Out2
130,0.96,0.96,0.28,Out6
131,0.91,0.01,0.12,Out4
132,0.39,0.27,0.66,Out1
133,0.78,0.05,0.80,Out5
134,0.77,0.33,0.15,Out4
135,0.60,0.26,0.34,Out4
136,0.96,0.20,0.93,Out5
137,0.24,0.08,0.74,Out1
138,0.81,0.88,0.06,Out6
139,0.18,0.08,0.12,Out0
140,0.18,0.37,0.35,Out0
141,0.78,0.27,0.69,Out5
142,0.12,0.86,0.76,Out3
143,0.84,0.64,0.32,Out6
144,0.03,0.25,0.90,Out1
145,0.40,0.72,0.77,Out3
146,0.04,0.21,0.25,Out0
147,0.27,0.74,0.20,Out2
148,0.15,0.19,0.09,Out0
149,0.12,0.16,0.91,Out1
150,0.16,0.88,0.18,Out2
