Channel,Time (s),Voltage (V)
CHANnel1,-0.05,5.238133
CHANnel1,-0.0499,5.114399
CHANnel1,-0.049800000000000004,5.105066
CHANnel1,-0.0497,5.150933
CHANnel1,-0.049600000000000005,5.118933
CHANnel1,-0.0495,5.183199
CHANnel1,-0.0494,5.150933
CHANnel1,-0.049300000000000004,5.206133
CHANnel1,-0.0492,5.192266
CHANnel1,-0.049100000000000005,5.224266
CHANnel1,-0.049,5.219733
CHANnel1,-0.048900000000000006,5.183199
CHANnel1,-0.0488,5.229066
CHANnel1,-0.0487,5.173866
CHANnel1,-0.048600000000000004,5.210666
CHANnel1,-0.0485,5.155466
CHANnel1,-0.048400000000000006,5.160266
CHANnel1,-0.0483,5.105066
CHANnel1,-0.0482,5.091199
CHANnel1,-0.048100000000000004,5.132533
CHANnel1,-0.048,5.127999
CHANnel1,-0.047900000000000005,5.251999
CHANnel1,-0.0478,5.265599
CHANnel1,-0.047700000000000006,5.210666
CHANnel1,-0.0476,5.238133
CHANnel1,-0.0475,5.141866
CHANnel1,-0.047400000000000005,5.160266
CHANnel1,-0.0473,5.091199
CHANnel1,-0.047200000000000006,5.105066
CHANnel1,-0.0471,5.183199
CHANnel1,-0.047,5.127999
CHANnel1,-0.046900000000000004,5.192266
CHANnel1,-0.0468,5.150933
CHANnel1,-0.046700000000000005,5.206133
CHANnel1,-0.0466,5.169333
CHANnel1,-0.0465,5.206133
CHANnel1,-0.046400000000000004,5.206133
CHANnel1,-0.0463,5.169333
CHANnel1,-0.046200000000000005,5.173866
CHANnel1,-0.0461,5.219733
CHANnel1,-0.046,5.169333
CHANnel1,-0.0459,5.215199
CHANnel1,-0.0458,5.210666
CHANnel1,-0.045700000000000005,5.169333
CHANnel1,-0.0456,5.192266
CHANnel1,-0.0455,5.155466
CHANnel1,-0.0454,5.1784
CHANnel1,-0.0453,5.127999
CHANnel1,-0.045200000000000004,5.146399
CHANnel1,-0.0451,5.105066
CHANnel1,-0.045000000000000005,5.1096
CHANnel1,-0.0449,5.169333
CHANnel1,-0.0448,5.160266
CHANnel1,-0.044700000000000004,5.229066
CHANnel1,-0.0446,5.261066
CHANnel1,-0.044500000000000005,5.210666
CHANnel1,-0.0444,5.229066
CHANnel1,-0.044300000000000006,5.127999
CHANnel1,-0.0442,5.082133
CHANnel1,-0.0441,5.155466
CHANnel1,-0.044000000000000004,5.100533
CHANnel1,-0.0439,5.169333
CHANnel1,-0.043800000000000006,5.146399
CHANnel1,-0.0437,5.206133
CHANnel1,-0.0436,5.160266
CHANnel1,-0.043500000000000004,5.210666
CHANnel1,-0.0434,5.1648
CHANnel1,-0.043300000000000005,5.215199
CHANnel1,-0.0432,5.219733
