ConfigNumber,InputState_Heater36,InputState_Heater37,Output1,Output2,Output3,Output4
3,0.1,0.1,5.302,3.124,2.169,1.547
3,0.1,4.9,1.871,5.771,7.024,1.682
3,4.9,0.1,1.94,5.899,7.037,1.466
3,4.9,4.9,5.009,1.648,7.028,8.353
5,0.1,0.1,3.509,4.925,6.562,4.065
5,0.1,4.9,3.389,6.923,4.2,4.731
5,4.9,0.1,2.091,6.923,3.893,1.434
5,4.9,4.9,6.958,0.2539,3.87,9.465
11,0.1,0.1,4.137,6.882,5.132,4.664
11,0.1,4.9,3.954,2.654,1.096,7.416
11,4.9,0.1,6.995,3.545,3.503,2.191
11,4.9,4.9,7.004,3.49,2.58,2.731
15,0.1,0.1,3.701,5.739,2.454,1.155
15,0.1,4.9,1.073,6.575,2.322,0.9477
15,4.9,0.1,2.031,6.9,5.309,5.245
15,4.9,4.9,3.683,3.453,1.214,4.857
20,0.1,0.1,0.6827,6.79,5.241,2.416
20,0.1,4.9,1.16,5.593,1.761,9.465
20,4.9,0.1,1.321,6.457,1.549,9.461
20,4.9,4.9,2.935,5.593,0.7205,9.398
22,0.1,0.1,3.187,4.011,3.472,9.415
22,0.1,4.9,3.151,6.242,2.06,3.074
22,4.9,0.1,2.499,6.946,2.644,3.934
22,4.9,4.9,3.44,6.932,3.39,1.105
29,0.1,0.1,6.573,4.111,2.657,1.313
29,0.1,4.9,5.527,1.456,1.245,1.227
29,4.9,0.1,5.174,1.451,1.626,3.087
29,4.9,4.9,2.903,4.23,2.969,0.2091
36,0.1,0.1,5.11,2.425,2.92,0.4928
36,0.1,4.9,3.031,3.696,4.843,0.2315
36,4.9,0.1,3.036,3.805,4.807,0.5109
36,4.9,4.9,1.986,5.533,3.463,0.3621
39,0.1,0.1,2.371,6.118,4.685,3.2
39,0.1,4.9,2.408,6.498,4.196,2.578
39,4.9,0.1,0.9717,4.459,3.241,1.083
39,4.9,4.9,0.5131,4.793,7.024,0.2045
41,0.1,0.1,6.069,3.293,4.567,8.199
41,0.1,4.9,4.977,4.77,6.25,5.024
41,4.9,0.1,3.637,1.145,3.241,9.281
41,4.9,4.9,3.467,1.182,4.874,9.384
44,0.1,0.1,3.871,5.387,4.218,0.2541
44,0.1,4.9,7.009,2.027,1.268,3.565
44,4.9,0.1,7.041,1.579,1.345,4.47
44,4.9,4.9,7.032,3.348,2.865,1.398
46,0.1,0.1,6.991,0.2219,2.223,5.11
