Id,SeL,SeW,PeL,PeW,Species
1,1.17,3.1,0.43,0.3,Iris-setosa
2,0.9,2.1,0.43,0.3,Iris-setosa
3,0.63,2.5,0.34,0.3,Iris-setosa
4,0.5,2.3,0.51,0.3,Iris-setosa
5,1.03,3.3,0.43,0.3,Iris-setosa
6,1.57,3.9,0.67,0.7,Iris-setosa
7,0.5,2.9,0.43,0.5,Iris-setosa
8,1.03,2.9,0.51,0.3,Iris-setosa
9,0.23,1.9,0.43,0.3,Iris-setosa
10,0.9,2.3,0.51,0.1,Iris-setosa
11,1.57,3.5,0.51,0.3,Iris-setosa
12,0.77,2.9,0.59,0.3,Iris-setosa
13,0.77,2.1,0.43,0.1,Iris-setosa
14,0.1,2.1,0.18,0.1,Iris-setosa
15,2.1,4.1,0.26,0.3,Iris-setosa
16,1.97,4.9,0.51,0.7,Iris-setosa
17,1.57,3.9,0.34,0.7,Iris-setosa
18,1.17,3.1,0.43,0.5,Iris-setosa
19,1.97,3.7,0.67,0.5,Iris-setosa
20,1.17,3.7,0.51,0.5,Iris-setosa
21,1.57,2.9,0.67,0.3,Iris-setosa
22,1.17,3.5,0.51,0.7,Iris-setosa
23,0.5,3.3,0.1,0.3,Iris-setosa
24,1.17,2.7,0.67,0.9,Iris-setosa
25,0.77,2.9,0.83,0.3,Iris-setosa
26,1.03,2.1,0.59,0.3,Iris-setosa
27,1.03,2.9,0.59,0.7,Iris-setosa
28,1.3,3.1,0.51,0.3,Iris-setosa
29,1.3,2.9,0.43,0.3,Iris-setosa
30,0.63,2.5,0.59,0.3,Iris-setosa
31,0.77,2.3,0.59,0.3,Iris-setosa
32,1.57,2.9,0.51,0.7,Iris-setosa
33,1.3,4.3,0.51,0.1,Iris-setosa
34,1.7,4.5,0.43,0.3,Iris-setosa
35,0.9,2.3,0.51,0.1,Iris-setosa
36,1.03,2.5,0.26,0.3,Iris-setosa
37,1.7,3.1,0.34,0.3,Iris-setosa
38,0.9,2.3,0.51,0.1,Iris-setosa
39,0.23,2.1,0.34,0.3,Iris-setosa
40,1.17,2.9,0.51,0.3,Iris-setosa
41,1.03,3.1,0.34,0.5,Iris-setosa
42,0.37,0.7,0.34,0.5,Iris-setosa
43,0.23,2.5,0.34,0.3,Iris-setosa
44,1.03,3.1,0.59,1.1,Iris-setosa
45,1.17,3.7,0.83,0.7,Iris-setosa
46,0.77,2.1,0.43,0.5,Iris-setosa
47,1.17,3.7,0.59,0.3,Iris-setosa
48,0.5,2.5,0.43,0.3,Iris-setosa
49,1.43,3.5,0.51,0.3,Iris-setosa
50,1.03,2.7,0.43,0.3,Iris-setosa
51,3.7,2.5,3.11,2.7,Iris-versicolor
52,2.9,2.5,2.95,2.9,Iris-versicolor
53,3.57,2.3,3.27,2.9,Iris-versicolor
54,1.7,0.7,2.54,2.5,Iris-versicolor
55,3.03,1.7,3.03,2.9,Iris-versicolor
56,1.97,1.7,2.95,2.5,Iris-versicolor
57,2.77,2.7,3.11,3.1,Iris-versicolor
58,0.9,0.9,1.97,1.9,Iris-versicolor
59,3.17,1.9,3.03,2.5,Iris-versicolor
60,1.3,1.5,2.46,2.7,Iris-versicolor
61,1.03,0.1,2.13,1.9,Iris-versicolor
62,2.23,2.1,2.7,2.9,Iris-versicolor
63,2.37,0.5,2.54,1.9,Iris-versicolor
64,2.5,1.9,3.11,2.7,Iris-versicolor
65,1.83,1.9,2.22,2.5,Iris-versicolor
66,3.3,2.3,2.87,2.7,Iris-versicolor
