Id,SeL,SeW,PeL,PeW,Species
0,2.55,1.75,0.7,0.1,Iris-setosa
1,2.45,1.5,0.7,0.1,Iris-setosa
2,2.35,1.6,0.65,0.1,Iris-setosa
3,2.3,1.55,0.75,0.1,Iris-setosa
4,2.5,1.8,0.7,0.1,Iris-setosa
5,2.7,1.95,0.85,0.2,Iris-setosa
6,2.3,1.7,0.7,0.15,Iris-setosa
7,2.5,1.7,0.75,0.1,Iris-setosa
8,2.2,1.45,0.7,0.1,Iris-setosa
9,2.45,1.55,0.75,0.05,Iris-setosa
10,2.7,1.85,0.75,0.1,Iris-setosa
11,2.4,1.7,0.8,0.1,Iris-setosa
12,2.4,1.5,0.7,0.05,Iris-setosa
13,2.15,1.5,0.55,0.05,Iris-setosa
14,2.9,2,0.6,0.1,Iris-setosa
15,2.85,2.2,0.75,0.2,Iris-setosa
16,2.7,1.95,0.65,0.2,Iris-setosa
17,2.55,1.75,0.7,0.15,Iris-setosa
18,2.85,1.9,0.85,0.15,Iris-setosa
19,2.55,1.9,0.75,0.15,Iris-setosa
20,2.7,1.7,0.85,0.1,Iris-setosa
21,2.55,1.85,0.75,0.2,Iris-setosa
22,2.3,1.8,0.5,0.1,Iris-setosa
23,2.55,1.65,0.85,0.25,Iris-setosa
24,2.4,1.7,0.95,0.1,Iris-setosa
25,2.5,1.5,0.8,0.1,Iris-setosa
26,2.5,1.7,0.8,0.2,Iris-setosa
27,2.6,1.75,0.75,0.1,Iris-setosa
28,2.6,1.7,0.7,0.1,Iris-setosa
29,2.35,1.6,0.8,0.1,Iris-setosa
30,2.4,1.55,0.8,0.1,Iris-setosa
31,2.7,1.7,0.75,0.2,Iris-setosa
32,2.6,2.05,0.75,0.05,Iris-setosa
33,2.75,2.1,0.7,0.1,Iris-setosa
34,2.45,1.55,0.75,0.05,Iris-setosa
35,2.5,1.6,0.6,0.1,Iris-setosa
36,2.75,1.75,0.65,0.1,Iris-setosa
37,2.45,1.55,0.75,0.05,Iris-setosa
38,2.2,1.5,0.65,0.1,Iris-setosa
39,2.55,1.7,0.75,0.1,Iris-setosa
40,2.5,1.75,0.65,0.15,Iris-setosa
41,2.25,1.15,0.65,0.15,Iris-setosa
42,2.2,1.6,0.65,0.1,Iris-setosa
43,2.5,1.75,0.8,0.3,Iris-setosa
44,2.55,1.9,0.95,0.2,Iris-setosa
45,2.4,1.5,0.7,0.15,Iris-setosa
46,2.55,1.9,0.8,0.1,Iris-setosa
47,2.3,1.6,0.7,0.1,Iris-setosa
48,2.65,1.85,0.75,0.1,Iris-setosa
49,2.5,1.65,0.7,0.1,Iris-setosa
50,3.5,1.6,2.35,0.7,Iris-versicolor
