timestamp,A,B,OUT
-1.04E-04,4.68E+00,1.24E-01,1.49E+00
-1.03E-04,4.67E+00,1.29E-01,1.49E+00
-1.03E-04,4.68E+00,1.33E-01,1.49E+00
-1.02E-04,4.68E+00,1.33E-01,1.49E+00
-1.02E-04,4.66E+00,1.19E-01,1.48E+00
-1.01E-04,4.68E+00,1.33E-01,1.49E+00
-1.01E-04,4.65E+00,1.29E-01,1.50E+00
-1.00E-04,4.67E+00,1.46E-01,1.50E+00
-9.95E-05,4.65E+00,1.37E-01,1.49E+00
-9.90E-05,4.68E+00,1.24E-01,1.48E+00
-9.85E-05,4.66E+00,1.29E-01,1.50E+00
-9.80E-05,4.67E+00,1.11E-01,1.48E+00
-9.75E-05,4.68E+00,1.37E-01,1.50E+00
-9.70E-05,4.69E+00,1.46E-01,1.49E+00
-9.65E-05,4.66E+00,1.33E-01,1.49E+00
-9.60E-05,4.66E+00,1.33E-01,1.49E+00
-9.55E-05,4.67E+00,1.29E-01,1.51E+00
-9.50E-05,4.67E+00,1.19E-01,1.49E+00
-9.45E-05,4.68E+00,1.24E-01,1.51E+00
-9.40E-05,4.67E+00,1.29E-01,1.49E+00
-9.35E-05,4.67E+00,1.24E-01,1.49E+00
-9.30E-05,4.65E+00,1.19E-01,1.48E+00
-9.25E-05,4.68E+00,1.29E-01,1.49E+00
-9.20E-05,4.67E+00,1.29E-01,1.49E+00
-9.15E-05,4.67E+00,1.06E-01,1.50E+00
-9.10E-05,4.67E+00,1.24E-01,1.49E+00
-9.05E-05,4.66E+00,1.24E-01,1.49E+00
-9.00E-05,4.67E+00,1.06E-01,1.50E+00
-8.95E-05,4.65E+00,1.29E-01,1.50E+00
-8.90E-05,4.66E+00,1.11E-01,1.50E+00
-8.85E-05,4.69E+00,1.29E-01,1.49E+00
-8.80E-05,4.64E+00,1.06E-01,1.50E+00
-8.75E-05,4.66E+00,1.24E-01,1.48E+00
-8.70E-05,4.66E+00,1.15E-01,1.50E+00
-8.65E-05,4.65E+00,1.24E-01,1.51E+00
-8.60E-05,4.65E+00,1.29E-01,1.49E+00
-8.55E-05,4.63E+00,1.33E-01,1.50E+00
-8.50E-05,4.65E+00,1.24E-01,1.49E+00
-8.45E-05,4.67E+00,1.29E-01,1.49E+00
-8.40E-05,4.68E+00,9.73E-02,1.49E+00
-8.35E-05,4.65E+00,1.06E-01,1.49E+00
-8.30E-05,4.64E+00,1.02E-01,1.50E+00
-8.25E-05,4.66E+00,1.46E-01,1.49E+00
-8.20E-05,4.69E+00,1.11E-01,1.48E+00
-8.15E-05,4.70E+00,1.29E-01,1.49E+00
-8.10E-05,4.65E+00,1.51E-01,1.51E+00
-8.05E-05,4.66E+00,1.29E-01,1.48E+00
-8.00E-05,4.65E+00,1.06E-01,1.48E+00
-7.95E-05,4.73E+00,1.46E-01,1.50E+00
-7.90E-05,4.73E+00,1.33E-01,1.47E+00
-7.85E-05,4.70E+00,1.24E-01,1.51E+00
-7.80E-05,4.71E+00,1.33E-01,1.51E+00
-7.75E-05,4.69E+00,1.15E-01,1.50E+00
-7.70E-05,4.64E+00,1.37E-01,1.50E+00
-7.65E-05,4.66E+00,1.02E-01,1.48E+00
-7.60E-05,4.65E+00,1.15E-01,1.52E+00
-7.55E-05,4.64E+00,1.06E-01,1.49E+00
-7.50E-05,4.63E+00,2.61E-02,1.49E+00
-7.45E-05,4.77E+00,1.29E-01,1.50E+00
-7.40E-05,4.64E+00,1.15E-01,1.52E+00
-7.35E-05,4.66E+00,1.29E-01,1.51E+00
-7.30E-05,4.66E+00,1.42E-01,1.49E+00
-7.25E-05,4.66E+00,2.26E-01,1.50E+00
-7.20E-05,4.65E+00,8.67E-01,1.50E+00
-7.15E-05,4.68E+00,1.34E+00,1.51E+00
-7.10E-05,4.67E+00,2.02E+00,1.50E+00
-7.05E-05,4.68E+00,2.68E+00,1.49E+00
-7.00E-05,4.66E+00,3.37E+00,1.48E+00
-6.95E-05,4.67E+00,4.03E+00,1.51E+00
-6.90E-05,4.69E+00,4.46E+00,1.49E+00
