Wavelength_nm,Timestamp,00_Output_V,00_Std_V,01_Output_V,01_Std_V,10_Output_V,10_Std_V,11_Output_V,11_Std_V
1548.0,2025-06-16T14:02:28.108108,2.332,0.07193,1.49267,0.03546,5.88467,0.05468,2.70833,0.03156
1548.4,2025-06-16T14:02:51.362307,1.82167,0.01037,2.17567,0.02831,5.14067,0.05498,2.857,0.0178
1548.8,2025-06-16T14:03:14.622330,1.566,0.01273,3.12033,0.01377,5.27133,0.00759,3.73633,0.02014
1549.2,2025-06-16T14:03:37.923589,0.87727,0.01042,3.226,0.06649,4.17533,0.0231,3.364,0.03505
1549.6,2025-06-16T14:04:01.175154,0.65557,0.00727,3.44,0.01273,3.93133,0.01302,3.79267,0.01103
1550.0,2025-06-16T14:04:24.456234,0.42953,0.01171,3.24833,0.07731,3.57533,0.01078,3.409,0.05034
1550.4,2025-06-16T14:04:47.771006,0.3239,0.00763,3.42367,0.00544,2.35567,0.0252,3.71967,0.06837
1550.8,2025-06-16T14:05:11.078055,0.3521,0.01259,4.21967,0.01891,1.826,0.01122,4.294,0.03293
1551.2,2025-06-16T14:05:34.379690,0.5872,0.00759,4.93367,0.01806,1.334,0.00735,4.81733,0.04
1551.6,2025-06-16T14:05:57.633556,1.20133,0.01461,5.32667,0.08345,1.727,0.0,5.03033,0.06758
1552.0,2025-06-16T14:06:20.918363,1.932,0.01944,5.62233,0.03633,2.20867,0.02549,4.37133,0.03427
